"RunId","OriginalPath","QuarantinePath","MovedAtUtc"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\bb3a785178f443fda931098a5a9a306b.db.ses","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_bb3a785178f443fda931098a5a9a306b.db.ses","2026-08-05T11:44:40.9712492Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\MpCmdRun.log","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_MpCmdRun.log","2026-08-05T11:44:40.9872580Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\MpSigStub.log","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_MpSigStub.log","2026-08-05T11:44:40.9965430Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\silconfig.log","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_silconfig.log","2026-08-05T11:44:41.0035435Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\_env.cmd","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp__env.cmd","2026-08-05T11:44:41.2002466Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\activitywatch\0.13.2\activitywatch-v0.13.2-windows-x86_64.zip","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_activitywatch_0.13.2_activitywatch-v0.13.2-windows-x86_64.zip","2026-08-05T11:44:41.2920003Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\chocolatey.nuspec","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_chocolatey.nuspec","2026-08-05T11:44:41.4027990Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\chocolatey.zip","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_chocolatey.zip","2026-08-05T11:44:41.5105515Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\[Content_Types].xml","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_[Content_Types].xml","2026-08-05T11:44:41.5969102Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\package\services\metadata\core-properties\5ad4dc75cc79452d8e7e738cb4a3286e.psmdcp","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_package_services_metadata_core-properties_5ad4dc75cc79452d8e7e738cb4a3286e.psmdcp","2026-08-05T11:44:42.1900889Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall.ps1","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall.ps1","2026-08-05T11:44:42.3456305Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateysetup.psm1","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateysetup.psm1","2026-08-05T11:44:42.4402334Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\tools\init.ps1","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_tools_init.ps1","2026-08-05T11:44:42.6315867Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\tools\VERIFICATION.txt","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_tools_VERIFICATION.txt","2026-08-05T11:44:42.6668978Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\choco.exe","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_choco.exe","2026-08-05T11:44:43.0893453Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\choco.exe.ignore","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_choco.exe.ignore","2026-08-05T11:44:43.0943511Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\choco.exe.manifest","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_choco.exe.manifest","2026-08-05T11:44:43.1531616Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\CREDITS.txt","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_CREDITS.txt","2026-08-05T11:44:43.3270748Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\LICENSE.txt","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_LICENSE.txt","2026-08-05T11:44:43.3661239Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\chocolateyInstaller.psm1","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_helpers_chocolateyInstaller.psm1","2026-08-05T11:44:43.4965131Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\chocolateyProfile.psm1","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_helpers_chocolateyProfile.psm1","2026-08-05T11:44:43.5717807Z"
"35ffe069-edad-4b31-b6c9-336bd584fc27","C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\chocolateyScriptRunner.ps1","C:\Users\labuser\Documents\Training\Day 3 - Scripting\TempCleanupState\Quarantine\35ffe069-edad-4b31-b6c9-336bd584fc27_C__Windows_Temp_chocolatey_chocoInstall_tools_chocolateyInstall_helpers_chocolateyScriptRunner.ps1","2026-08-05T11:44:43.6697268Z"
